chr	start	stop	pop
6	85209989	87069500	EUR
6	87069500	88822140	EUR
6	88822140	89973052	EUR
6	89973052	91843196	EUR
6	91843196	93428644	EUR
6	93428644	94118142	EUR
6	94118142	94441175	EUR
6	94441175	97093511	EUR
6	97093511	97842284	EUR
6	97842284	100630146	EUR
6	100630146	102636772	EUR
6	102636772	103983395	EUR
6	103983395	106056733	EUR
6	106056733	107450306	EUR
6	107450306	108464380	EUR
6	108464380	110304247	EUR
6	110304247	112345014	EUR
6	112345014	114220833	EUR
6	114220833	116131396	EUR
6	116131396	117672972	EUR
6	117672972	118963115	EUR
6	118963115	119963278	EUR
6	119963278	120512128	EUR
6	120512128	121905676	EUR
6	121905676	123856181	EUR
6	123856181	125424383	EUR
6	125424383	127540461	EUR
6	127540461	129861031	EUR
6	129861031	130935454	EUR
6	130935454	132765669	EUR
6	132765669	134244243	EUR
6	134244243	136224177	EUR
6	136224177	137614218	EUR
6	137614218	138822629	EUR
6	138822629	139845436	EUR
6	139845436	142288479	EUR
6	142288479	145319810	EUR
6	145319810	146665424	EUR
6	146665424	148920352	EUR
6	148920352	150253404	EUR
6	150253404	151912703	EUR
6	151912703	153094496	EUR
6	153094496	154974120	EUR
6	154974120	156763326	EUR
6	156763326	158218719	EUR
6	158218719	160580497	EUR
6	160580497	162169564	EUR
6	162169564	162931203	EUR
6	162931203	164383521	EUR
6	164383521	165586864	EUR
6	165586864	167024733	EUR
6	167024733	168042835	EUR
6	168042835	169382050	EUR
6	169382050	170330173	EUR
6	170330173	171051270	EUR
7	16161	972752	EUR
7	972752	1353067	EUR
7	1353067	2062398	EUR
7	2062398	2772227	EUR
7	2772227	4573428	EUR
7	4573428	5416232	EUR
7	5416232	5854526	EUR
7	5854526	6573857	EUR
7	6573857	7808752	EUR
7	7808752	9123423	EUR
7	9123423	9987499	EUR
7	9987499	11299198	EUR
7	11299198	12635461	EUR
7	12635461	13884202	EUR
7	13884202	15143657	EUR
7	15143657	16902069	EUR
7	16902069	19481547	EUR
7	19481547	20124908	EUR
7	20124908	22507629	EUR
7	22507629	23471442	EUR
7	23471442	25077259	EUR
7	25077259	25909555	EUR
7	25909555	28360309	EUR
7	28360309	31137289	EUR
7	31137289	33555768	EUR
7	33555768	36213538	EUR
7	36213538	37555184	EUR
7	37555184	38966703	EUR
7	38966703	39862670	EUR
7	39862670	42001811	EUR
7	42001811	43159074	EUR
7	43159074	44763828	EUR
7	44763828	45952922	EUR
7	45952922	46986720	EUR
7	46986720	49212278	EUR
7	49212278	51675322	EUR
7	51675322	53176312	EUR
7	53176312	54222976	EUR
7	54222976	55691584	EUR
7	55691584	57382638	EUR
7	57382638	63307359	EUR
7	63307359	63641125	EUR
7	63641125	65689809	EUR
7	65689809	68234074	EUR
7	68234074	69085364	EUR
7	69085364	71874885	EUR
7	71874885	73334602	EUR
7	73334602	76458564	EUR
7	76458564	78093859	EUR
7	78093859	79888069	EUR
7	79888069	82022686	EUR
7	82022686	83801203	EUR
7	83801203	85572182	EUR
7	85572182	87825004	EUR
7	87825004	90661784	EUR
7	90661784	92493752	EUR
7	92493752	93966601	EUR
7	93966601	96073508	EUR
7	96073508	97099570	EUR
7	97099570	98715474	EUR
7	98715474	100196651	EUR
7	100196651	101199253	EUR
7	101199253	103197510	EUR
7	103197510	104159525	EUR
7	104159525	105682905	EUR
7	105682905	107780178	EUR
7	107780178	109647594	EUR
7	109647594	112618684	EUR
7	112618684	113712387	EUR
7	113712387	116780178	EUR
7	116780178	118351581	EUR
7	118351581	121045273	EUR
7	121045273	121933630	EUR
7	121933630	124156805	EUR
7	124156805	124167552	EUR
7	124167552	126519170	EUR
7	126519170	126869221	EUR
7	126869221	128778386	EUR
7	128778386	130422414	EUR
7	130422414	132805848	EUR
7	132805848	134307596	EUR
7	134307596	135591083	EUR
7	135591083	136876562	EUR
7	136876562	138744679	EUR
7	138744679	139933177	EUR
7	139933177	140235210	EUR
7	140235210	141226557	EUR
7	141226557	142656310	EUR
7	142656310	144968289	EUR
7	144968289	146427960	EUR
7	146427960	147815318	EUR
7	147815318	149840658	EUR
7	149840658	150711505	EUR
7	150711505	152249806	EUR
7	152249806	153674019	EUR
7	153674019	154964730	EUR
7	154964730	156065250	EUR
7	156065250	157634597	EUR
7	157634597	159128575	EUR
8	10422	1044217	EUR
8	1044217	1163245	EUR
8	1163245	2042942	EUR
8	2042942	2573279	EUR
8	2573279	3392926	EUR
8	3392926	3783017	EUR
8	3783017	4480476	EUR
8	4480476	5146927	EUR
8	5146927	6142797	EUR
8	6142797	7153079	EUR
8	7153079	9154694	EUR
8	9154694	9640787	EUR
8	9640787	10463197	EUR
8	10463197	11278998	EUR
8	11278998	13491775	EUR
8	13491775	13944992	EUR
8	13944992	15991660	EUR
8	15991660	17387876	EUR
8	17387876	17836399	EUR
8	17836399	19492840	EUR
8	19492840	20060856	EUR
8	20060856	21661737	EUR
8	21661737	22897057	EUR
8	22897057	24674718	EUR
8	24674718	25483454	EUR
8	25483454	26682525	EUR
8	26682525	28162392	EUR
8	28162392	29327896	EUR
8	29327896	31133729	EUR
8	31133729	31548360	EUR
8	31548360	32977218	EUR
8	32977218	35317232	EUR
8	35317232	37379389	EUR
8	37379389	38938806	EUR
8	38938806	40703337	EUR
8	40703337	41721454	EUR
8	41721454	42773823	EUR
8	42773823	46841315	EUR
8	46841315	50082470	EUR
8	50082470	53302930	EUR
8	53302930	54418044	EUR
8	54418044	55945581	EUR
8	55945581	56956383	EUR
8	56956383	59068651	EUR
8	59068651	59728100	EUR
8	59728100	62329099	EUR
8	62329099	63349306	EUR
8	63349306	65232872	EUR
8	65232872	66489090	EUR
8	66489090	69863057	EUR
8	69863057	70867979	EUR
8	70867979	72289454	EUR
8	72289454	73817199	EUR
8	73817199	75445064	EUR
8	75445064	76456542	EUR
8	76456542	79132861	EUR
8	79132861	81956395	EUR
8	81956395	82693739	EUR
8	82693739	84225589	EUR
8	84225589	85955619	EUR
8	85955619	87411709	EUR
8	87411709	89085481	EUR
8	89085481	90638162	EUR
8	90638162	93554386	EUR
8	93554386	95005527	EUR
8	95005527	96534806	EUR
8	96534806	99401581	EUR
8	99401581	101620958	EUR
8	101620958	104123306	EUR
8	104123306	104988752	EUR
8	104988752	107410754	EUR
8	107410754	108648177	EUR
8	108648177	109248173	EUR
8	109248173	110484314	EUR
8	110484314	111850847	EUR
8	111850847	113064320	EUR
8	113064320	116096495	EUR
8	116096495	119685457	EUR
8	119685457	121201700	EUR
8	121201700	124861459	EUR
8	124861459	125683719	EUR
8	125683719	126410917	EUR
8	126410917	128659111	EUR
8	128659111	130381139	EUR
8	130381139	131639625	EUR
8	131639625	133351144	EUR
8	133351144	134570001	EUR
8	134570001	136035605	EUR
8	136035605	137524151	EUR
8	137524151	139254830	EUR
8	139254830	140725643	EUR
8	140725643	143044914	EUR
8	143044914	144236881	EUR
8	144236881	146303867	EUR
9	10023	1079707	EUR
9	1079707	1916877	EUR
9	1916877	3190064	EUR
9	3190064	4495328	EUR
9	4495328	4884926	EUR
9	4884926	6557589	EUR
9	6557589	7154923	EUR
9	7154923	8456299	EUR
9	8456299	9166403	EUR
9	9166403	10879253	EUR
9	10879253	12276489	EUR
9	12276489	14836363	EUR
9	14836363	16659655	EUR
9	16659655	18661051	EUR
9	18661051	20463534	EUR
9	20463534	22206559	EUR
9	22206559	24158518	EUR
9	24158518	25330810	EUR
9	25330810	26111757	EUR
9	26111757	28224283	EUR
9	28224283	28811584	EUR
9	28811584	30387392	EUR
9	30387392	31310383	EUR
9	31310383	32019368	EUR
9	32019368	33578334	EUR
9	33578334	34642243	EUR
9	34642243	36743283	EUR
9	36743283	38641599	EUR
9	38641599	65472190	EUR
9	65472190	72512711	EUR
9	72512711	72753755	EUR
9	72753755	74253040	EUR
9	74253040	76203946	EUR
9	76203946	76973081	EUR
9	76973081	78900183	EUR
9	78900183	79471208	EUR
9	79471208	81079055	EUR
9	81079055	82590928	EUR
9	82590928	84211233	EUR
9	84211233	85440801	EUR
9	85440801	86938196	EUR
9	86938196	88109333	EUR
9	88109333	88590417	EUR
9	88590417	90136246	EUR
9	90136246	92528698	EUR
9	92528698	94167203	EUR
9	94167203	96671698	EUR
9	96671698	98922040	EUR
9	98922040	101592859	EUR
9	101592859	104624437	EUR
9	104624437	105967976	EUR
9	105967976	107581749	EUR
9	107581749	109298754	EUR
9	109298754	110695062	EUR
9	110695062	112778024	EUR
9	112778024	114831082	EUR
9	114831082	115693145	EUR
9	115693145	117019801	EUR
9	117019801	117921960	EUR
9	117921960	121321537	EUR
9	121321537	122260297	EUR
9	122260297	124871322	EUR
9	124871322	126971887	EUR
